DATE,SEARCH_COUNT
1.01.2017,30
8.01.2017,24
15.01.2017,24
22.01.2017,26
29.01.2017,27
5.02.2017,23
12.02.2017,25
19.02.2017,23
26.02.2017,28
5.03.2017,23
12.03.2017,24
19.03.2017,23
26.03.2017,23
2.04.2017,22
9.04.2017,18
16.04.2017,17
23.04.2017,20
30.04.2017,21
7.05.2017,18
14.05.2017,18
21.05.2017,16
28.05.2017,26
4.06.2017,19
11.06.2017,21
18.06.2017,22
25.06.2017,19
2.07.2017,19
9.07.2017,21
16.07.2017,19
23.07.2017,20
30.07.2017,24
6.08.2017,18
13.08.2017,20
20.08.2017,24
27.08.2017,16
3.09.2017,17
10.09.2017,19
17.09.2017,23
24.09.2017,24
1.10.2017,22
8.10.2017,22
15.10.2017,21
22.10.2017,20
29.10.2017,25
5.11.2017,20
12.11.2017,16
19.11.2017,18
26.11.2017,21
3.12.2017,21
10.12.2017,20
17.12.2017,20
24.12.2017,24
31.12.2017,38
7.01.2018,23
14.01.2018,22
21.01.2018,21
28.01.2018,25
4.02.2018,23
11.02.2018,20
18.02.2018,20
25.02.2018,25
4.03.2018,22
11.03.2018,19
18.03.2018,17
25.03.2018,19
1.04.2018,20
8.04.2018,18
15.04.2018,19
22.04.2018,17
29.04.2018,20
6.05.2018,21
13.05.2018,21
20.05.2018,17
27.05.2018,23
3.06.2018,22
10.06.2018,16
17.06.2018,23
24.06.2018,19
1.07.2018,27
8.07.2018,23
15.07.2018,25
22.07.2018,19
29.07.2018,25
5.08.2018,22
12.08.2018,23
19.08.2018,23
26.08.2018,26
2.09.2018,30
9.09.2018,27
16.09.2018,30
23.09.2018,29
30.09.2018,32
7.10.2018,27
14.10.2018,28
21.10.2018,25
28.10.2018,32
4.11.2018,29
11.11.2018,32
18.11.2018,27
25.11.2018,38
2.12.2018,41
9.12.2018,30
16.12.2018,28
23.12.2018,56
30.12.2018,50
6.01.2019,43
13.01.2019,47
20.01.2019,39
27.01.2019,39
3.02.2019,45
10.02.2019,28
17.02.2019,33
24.02.2019,31
3.03.2019,34
10.03.2019,28
17.03.2019,23
24.03.2019,23
31.03.2019,28
7.04.2019,32
14.04.2019,28
21.04.2019,22
28.04.2019,28
5.05.2019,29
12.05.2019,28
19.05.2019,39
26.05.2019,37
2.06.2019,18
9.06.2019,33
16.06.2019,30
23.06.2019,29
30.06.2019,40
7.07.2019,30
14.07.2019,25
21.07.2019,27
28.07.2019,31
4.08.2019,28
11.08.2019,17
18.08.2019,24
25.08.2019,23
1.09.2019,33
8.09.2019,27
15.09.2019,27
22.09.2019,26
29.09.2019,35
6.10.2019,28
13.10.2019,23
20.10.2019,24
27.10.2019,25
3.11.2019,30
10.11.2019,26
17.11.2019,22
24.11.2019,24
1.12.2019,28
8.12.2019,22
15.12.2019,25
22.12.2019,35
29.12.2019,35
5.01.2020,30
12.01.2020,28
19.01.2020,23
26.01.2020,24
2.02.2020,27
9.02.2020,24
16.02.2020,29
23.02.2020,21
1.03.2020,24
8.03.2020,21
15.03.2020,36
22.03.2020,68
29.03.2020,88
5.04.2020,100
12.04.2020,50
19.04.2020,46
26.04.2020,55
3.05.2020,64
10.05.2020,38
17.05.2020,37
24.05.2020,27
31.05.2020,41
7.06.2020,41
14.06.2020,21
21.06.2020,25
28.06.2020,42
5.07.2020,31
12.07.2020,24
19.07.2020,27
26.07.2020,33
2.08.2020,25
9.08.2020,21
16.08.2020,18
23.08.2020,22
30.08.2020,27
6.09.2020,24
13.09.2020,15
20.09.2020,15
27.09.2020,22
4.10.2020,25
11.10.2020,14
18.10.2020,17
25.10.2020,20
1.11.2020,21
8.11.2020,20
15.11.2020,16
22.11.2020,19
29.11.2020,27
6.12.2020,20
13.12.2020,18
20.12.2020,19
27.12.2020,28
