date,hour,consumption
1.01.2016,00:00,"26.277,24"
1.01.2016,01:00,"24.991,82"
1.01.2016,02:00,"23.532,61"
1.01.2016,03:00,"22.464,78"
1.01.2016,04:00,"22.002,91"
1.01.2016,05:00,"21.957,08"
1.01.2016,06:00,"22.203,54"
1.01.2016,07:00,"21.844,16"
1.01.2016,08:00,"23.094,73"
1.01.2016,09:00,"25.202,27"
1.01.2016,10:00,"27.224,96"
1.01.2016,11:00,"28.908,04"
1.01.2016,12:00,"28.789,25"
1.01.2016,13:00,"29.367,70"
1.01.2016,14:00,"29.548,32"
1.01.2016,15:00,"29.390,89"
1.01.2016,16:00,"30.734,97"
1.01.2016,17:00,"32.048,02"
1.01.2016,18:00,"31.438,11"
1.01.2016,19:00,"30.728,47"
1.01.2016,20:00,"30.166,14"
1.01.2016,21:00,"29.461,28"
1.01.2016,22:00,"29.242,83"
1.01.2016,23:00,"28.069,09"
2.01.2016,00:00,"26.224,60"
2.01.2016,01:00,"24.708,58"
2.01.2016,02:00,"23.771,58"
2.01.2016,03:00,"22.921,29"
2.01.2016,04:00,"22.870,89"
2.01.2016,05:00,"23.325,63"
2.01.2016,06:00,"23.604,98"
2.01.2016,07:00,"24.022,70"
2.01.2016,08:00,"26.930,48"
2.01.2016,09:00,"30.043,60"
2.01.2016,10:00,"32.102,38"
2.01.2016,11:00,"33.431,89"
2.01.2016,12:00,"32.910,61"
2.01.2016,13:00,"32.887,61"
2.01.2016,14:00,"32.796,18"
2.01.2016,15:00,"32.594,55"
2.01.2016,16:00,"33.358,47"
2.01.2016,17:00,"34.387,95"
2.01.2016,18:00,"33.591,26"
2.01.2016,19:00,"32.648,83"
2.01.2016,20:00,"31.897,73"
2.01.2016,21:00,"31.049,20"
2.01.2016,22:00,"30.906,43"
2.01.2016,23:00,"29.621,09"
3.01.2016,00:00,"27.613,96"
3.01.2016,01:00,"25.779,28"
3.01.2016,02:00,"24.566,31"
3.01.2016,03:00,"23.878,42"
3.01.2016,04:00,"23.511,38"
3.01.2016,05:00,"23.672,32"
3.01.2016,06:00,"23.827,08"
3.01.2016,07:00,"23.405,11"
3.01.2016,08:00,"24.638,72"
3.01.2016,09:00,"26.802,38"
3.01.2016,10:00,"28.779,88"
3.01.2016,11:00,"30.204,30"
3.01.2016,12:00,"30.588,30"
3.01.2016,13:00,"30.902,63"
3.01.2016,14:00,"31.056,47"
3.01.2016,15:00,"30.979,53"
3.01.2016,16:00,"32.297,46"
3.01.2016,17:00,"33.462,96"
3.01.2016,18:00,"33.151,03"
3.01.2016,19:00,"32.450,21"
3.01.2016,20:00,"32.093,93"
3.01.2016,21:00,"31.315,16"
3.01.2016,22:00,"31.014,19"
3.01.2016,23:00,"29.462,06"
4.01.2016,00:00,"27.103,09"
4.01.2016,01:00,"25.439,84"
4.01.2016,02:00,"24.395,07"
4.01.2016,03:00,"23.961,03"
4.01.2016,04:00,"23.860,63"
4.01.2016,05:00,"24.418,47"
4.01.2016,06:00,"25.708,59"
4.01.2016,07:00,"27.455,39"
4.01.2016,08:00,"32.982,07"
4.01.2016,09:00,"37.175,84"
4.01.2016,10:00,"38.606,67"
4.01.2016,11:00,"39.659,57"
4.01.2016,12:00,"38.416,32"
4.01.2016,13:00,"39.279,26"
4.01.2016,14:00,"39.661,98"
4.01.2016,15:00,"39.211,00"
4.01.2016,16:00,"39.760,12"
4.01.2016,17:00,"39.633,29"
4.01.2016,18:00,"37.621,41"
4.01.2016,19:00,"35.954,18"
4.01.2016,20:00,"35.114,12"
4.01.2016,21:00,"34.066,40"
4.01.2016,22:00,"33.686,83"
4.01.2016,23:00,"31.733,54"
5.01.2016,00:00,"29.244,38"
5.01.2016,01:00,"27.637,23"
5.01.2016,02:00,"26.335,78"
5.01.2016,03:00,"25.870,23"
5.01.2016,04:00,"25.975,07"
5.01.2016,05:00,"26.318,48"
5.01.2016,06:00,"27.109,29"
5.01.2016,07:00,"28.570,22"
5.01.2016,08:00,"33.106,00"
5.01.2016,09:00,"36.657,12"
5.01.2016,10:00,"37.776,49"
5.01.2016,11:00,"38.664,22"
5.01.2016,12:00,"37.522,11"
5.01.2016,13:00,"37.820,69"
5.01.2016,14:00,"38.086,11"
5.01.2016,15:00,"37.834,89"
5.01.2016,16:00,"38.599,34"
5.01.2016,17:00,"38.669,63"
5.01.2016,18:00,"36.954,78"
5.01.2016,19:00,"35.306,11"
5.01.2016,20:00,"34.301,59"
5.01.2016,21:00,"33.400,82"
5.01.2016,22:00,"33.359,37"
5.01.2016,23:00,"31.629,97"
6.01.2016,00:00,"29.189,27"
6.01.2016,01:00,"27.614,02"
6.01.2016,02:00,"26.578,97"
6.01.2016,03:00,"25.719,19"
6.01.2016,04:00,"25.864,63"
6.01.2016,05:00,"25.918,59"
6.01.2016,06:00,"27.091,94"
6.01.2016,07:00,"28.533,05"
6.01.2016,08:00,"33.203,34"
6.01.2016,09:00,"36.257,22"
6.01.2016,10:00,"37.212,91"
6.01.2016,11:00,"37.844,74"
6.01.2016,12:00,"36.194,13"
6.01.2016,13:00,"36.542,73"
6.01.2016,14:00,"36.847,22"
6.01.2016,15:00,"36.433,88"
6.01.2016,16:00,"37.581,09"
6.01.2016,17:00,"37.304,52"
6.01.2016,18:00,"35.832,00"
6.01.2016,19:00,"34.499,94"
6.01.2016,20:00,"33.670,00"
6.01.2016,21:00,"32.931,12"
6.01.2016,22:00,"32.913,06"
6.01.2016,23:00,"31.450,65"
7.01.2016,00:00,"28.763,95"
7.01.2016,01:00,"27.284,84"
7.01.2016,02:00,"26.321,95"
7.01.2016,03:00,"25.748,49"
7.01.2016,04:00,"25.636,58"
7.01.2016,05:00,"25.932,52"
7.01.2016,06:00,"26.963,74"
7.01.2016,07:00,"28.444,83"
7.01.2016,08:00,"32.804,27"
7.01.2016,09:00,"35.608,30"
7.01.2016,10:00,"36.500,83"
7.01.2016,11:00,"37.350,92"
7.01.2016,12:00,"35.900,99"
7.01.2016,13:00,"36.800,39"
7.01.2016,14:00,"37.376,83"
7.01.2016,15:00,"37.100,43"
7.01.2016,16:00,"37.668,65"
7.01.2016,17:00,"37.906,99"
7.01.2016,18:00,"35.841,62"
7.01.2016,19:00,"34.621,65"
7.01.2016,20:00,"33.784,72"
7.01.2016,21:00,"32.638,14"
7.01.2016,22:00,"32.739,98"
7.01.2016,23:00,"31.092,87"
8.01.2016,00:00,"28.602,02"
8.01.2016,01:00,"27.112,37"
8.01.2016,02:00,"25.975,34"
8.01.2016,03:00,"25.315,55"
8.01.2016,04:00,"25.128,15"
8.01.2016,05:00,"25.356,22"
8.01.2016,06:00,"26.338,72"
8.01.2016,07:00,"28.086,42"
8.01.2016,08:00,"32.702,24"
8.01.2016,09:00,"35.788,17"
8.01.2016,10:00,"36.843,20"
8.01.2016,11:00,"37.140,00"
8.01.2016,12:00,"34.622,56"
8.01.2016,13:00,"36.134,82"
8.01.2016,14:00,"36.555,58"
8.01.2016,15:00,"36.190,41"
8.01.2016,16:00,"37.031,72"
8.01.2016,17:00,"37.773,70"
8.01.2016,18:00,"35.930,69"
8.01.2016,19:00,"34.710,46"
8.01.2016,20:00,"33.907,65"
8.01.2016,21:00,"33.048,69"
8.01.2016,22:00,"33.220,16"
8.01.2016,23:00,"32.021,60"
9.01.2016,00:00,"29.906,93"
9.01.2016,01:00,"28.061,98"
9.01.2016,02:00,"26.808,78"
9.01.2016,03:00,"25.798,80"
9.01.2016,04:00,"25.820,46"
9.01.2016,05:00,"26.035,77"
9.01.2016,06:00,"26.451,24"
9.01.2016,07:00,"26.853,42"
9.01.2016,08:00,"30.627,32"
9.01.2016,09:00,"33.468,25"
9.01.2016,10:00,"34.792,84"
9.01.2016,11:00,"35.382,85"
9.01.2016,12:00,"34.131,49"
9.01.2016,13:00,"33.827,99"
9.01.2016,14:00,"33.524,80"
9.01.2016,15:00,"32.951,39"
9.01.2016,16:00,"33.655,89"
9.01.2016,17:00,"35.045,14"
9.01.2016,18:00,"34.407,27"
9.01.2016,19:00,"33.494,32"
9.01.2016,20:00,"32.624,31"
9.01.2016,21:00,"32.097,79"
9.01.2016,22:00,"32.176,63"
9.01.2016,23:00,"30.760,17"
10.01.2016,00:00,"28.890,37"
10.01.2016,01:00,"27.133,75"
10.01.2016,02:00,"25.656,13"
10.01.2016,03:00,"24.937,87"
10.01.2016,04:00,"24.538,16"
10.01.2016,05:00,"24.616,05"
10.01.2016,06:00,"24.478,14"
10.01.2016,07:00,"23.813,35"
10.01.2016,08:00,"24.676,92"
10.01.2016,09:00,"26.693,26"
10.01.2016,10:00,"28.136,07"
10.01.2016,11:00,"29.059,35"
10.01.2016,12:00,"28.947,35"
10.01.2016,13:00,"28.944,66"
10.01.2016,14:00,"29.089,83"
10.01.2016,15:00,"29.447,75"
10.01.2016,16:00,"30.569,07"
10.01.2016,17:00,"32.006,15"
10.01.2016,18:00,"31.706,26"
10.01.2016,19:00,"31.305,87"
10.01.2016,20:00,"30.870,26"
10.01.2016,21:00,"30.462,79"
10.01.2016,22:00,"30.537,75"
10.01.2016,23:00,"28.857,66"
11.01.2016,00:00,"27.130,75"
11.01.2016,01:00,"25.403,40"
11.01.2016,02:00,"24.452,96"
11.01.2016,03:00,"23.959,85"
11.01.2016,04:00,"23.839,28"
11.01.2016,05:00,"24.358,46"
11.01.2016,06:00,"25.800,81"
11.01.2016,07:00,"27.336,03"
11.01.2016,08:00,"32.683,24"
11.01.2016,09:00,"35.710,94"
11.01.2016,10:00,"36.707,21"
11.01.2016,11:00,"37.289,29"
11.01.2016,12:00,"35.723,20"
11.01.2016,13:00,"36.053,20"
11.01.2016,14:00,"36.383,06"
11.01.2016,15:00,"36.013,19"
11.01.2016,16:00,"36.848,54"
11.01.2016,17:00,"37.368,40"
11.01.2016,18:00,"35.697,30"
11.01.2016,19:00,"34.482,37"
11.01.2016,20:00,"33.526,95"
11.01.2016,21:00,"32.634,16"
11.01.2016,22:00,"32.791,35"
11.01.2016,23:00,"31.147,83"
12.01.2016,00:00,"29.161,64"
12.01.2016,01:00,"27.519,24"
12.01.2016,02:00,"26.256,43"
