Date,Hour,Production,timestamp,CLOUD_LOW_LAYER_37.75_34.25,CLOUD_LOW_LAYER_37.75_34.5,CLOUD_LOW_LAYER_38_34.25,CLOUD_LOW_LAYER_38_34.5,DSWRF_37.75_34.25,DSWRF_37.75_34.5,DSWRF_38_34.25,DSWRF_38_34.5,TEMP_37.75_34.25,TEMP_37.75_34.5,TEMP_38_34.25,TEMP_38_34.5
2019-10-09,0,0,2019-10-09T00:00:00Z,0,0,0,0,0,0,0,0,17.071,16.411,14.531,12.411
2019-10-09,1,0,2019-10-09T01:00:00Z,0,0,0,0,0,0,0,0,16.949,15.729,13.959,11.939
2019-10-09,2,0,2019-10-09T02:00:00Z,0,0,0,0,0,0,0,0,15.886,14.636,13.476,11.426
2019-10-09,3,0,2019-10-09T03:00:00Z,0,0,0,0,0,0,0,0,15.106,13.796,12.856,11.066
2019-10-09,4,0,2019-10-09T04:00:00Z,0,0,0,0,0,0,0,0,14.91,13.54,12.65,11.22
2019-10-09,5,0,2019-10-09T05:00:00Z,0,0,0,0,0,0,0,0,14.076,13.226,12.286,11.386
2019-10-09,6,0.04,2019-10-09T06:00:00Z,0,0,0,0,0,0,0,0,13.701,12.931,11.771,11.221
2019-10-09,7,3.7,2019-10-09T07:00:00Z,0,0,0,0,0,0,0,0,13.886,12.956,11.406,10.636
2019-10-09,8,11.15,2019-10-09T08:00:00Z,0,0,0,0,20,20,20,20,16.218,15.768,14.708,13.5580000000001
2019-10-09,9,19.81,2019-10-09T09:00:00Z,0,0,0,0,62,63,62,64,17.679,17.199,16.369,15.359
2019-10-09,10,24.87,2019-10-09T10:00:00Z,0,0,0,0,470,480,470,480,18.817,18.177,17.907,16.617
2019-10-09,11,25.74,2019-10-09T11:00:00Z,0,0,0,0,540,550,540,550,20.05,19.55,19.25,17.85
2019-10-09,12,25.74,2019-10-09T12:00:00Z,0,0,0,0,600,610,600,610,21.45,20.85,20.45,19.05
2019-10-09,13,25.67,2019-10-09T13:00:00Z,0,0,0,0,640,640,630,640,22.55,22.05,21.35,19.75
2019-10-09,14,24,2019-10-09T14:00:00Z,0,0,0,0,652,657,649,656,23.45,22.85,21.95,20.35
2019-10-09,15,18.26,2019-10-09T15:00:00Z,0,0,0,0,647,651,644,650,24.15,23.45,22.55,20.55
2019-10-09,16,12.29,2019-10-09T16:00:00Z,0,0,0,0,480,470,470,470,24.194,23.394,22.394,20.494
2019-10-09,17,4.27,2019-10-09T17:00:00Z,0,0,0,0,380,380,380,380,24.15,23.25,22.15,19.95
2019-10-09,18,0.08,2019-10-09T18:00:00Z,0,0,0,0,290,280,280,280,22.17,21.27,20.47,18.0700000000001
2019-10-09,19,0,2019-10-09T19:00:00Z,0,0,0,0,220,210,210,210,20.981,19.481,18.581,16.281
2019-10-09,20,0,2019-10-09T20:00:00Z,0,0,0,0,170,170,170,170,19.95,18.35,18.05,15.95
2019-10-09,21,0,2019-10-09T21:00:00Z,0,0,0,0,140,140,140,140,18.95,17.45,17.25,15.55
2019-10-09,22,0,2019-10-09T22:00:00Z,0,0,0,0,0,0,0,0,18.05,16.95,16.75,15.05
2019-10-09,23,0,2019-10-09T23:00:00Z,0,0,0,0,0,0,0,0,17.25,16.05,15.75,14.45
2019-10-10,0,0,2019-10-10T00:00:00Z,0,0,0,0,0,0,0,0,16.642,15.442,14.632,13.772
2019-10-10,1,0,2019-10-10T01:00:00Z,0,0,0,0,0,0,0,0,16.0460000000001,14.916,13.926,13.196
2019-10-10,2,0,2019-10-10T02:00:00Z,0,0,0,0,0,0,0,0,15.52,14.45,13.34,12.41
2019-10-10,3,0,2019-10-10T03:00:00Z,0,0,0,0,0,0,0,0,15.016,13.836,12.806,11.5460000000001
2019-10-10,4,0,2019-10-10T04:00:00Z,0,0,0,0,0,0,0,0,14.387,13.2070000000001,12.377,10.7070000000001
2019-10-10,5,0,2019-10-10T05:00:00Z,0,0,0,0,0,0,0,0,13.792,12.612,12.012,10.152
2019-10-10,6,0.04,2019-10-10T06:00:00Z,0,0,0,0,0,0,0,0,13.3440000000001,12.234,11.724,9.834
2019-10-10,7,3.63,2019-10-10T07:00:00Z,0,0,0,0,0,0,0,0,13.107,12.177,11.447,9.79700000000003
2019-10-10,8,12.47,2019-10-10T08:00:00Z,0,0,0,0,20,20,20,20,16.622,16.052,15.192,13.612
2019-10-10,9,19.88,2019-10-10T09:00:00Z,0,0,0,0,63,65,63,65,18.704,18.554,17.674,16.494
2019-10-10,10,24.49,2019-10-10T10:00:00Z,0,0,0,0,470,480,470,480,20.035,19.835,18.995,17.935
2019-10-10,11,25.7,2019-10-10T11:00:00Z,0,0,0,0,540,550,550,560,21.65,21.31,20.39,19.22
2019-10-10,12,25.7,2019-10-10T12:00:00Z,0,0,0,0,600,610,590,600,23.15,22.72,21.7,20.3200000000001
2019-10-10,13,25.63,2019-10-10T13:00:00Z,0,0,0,0,630,640,620,630,24.36,23.98,22.6,21.02
2019-10-10,14,24.23,2019-10-10T14:00:00Z,0,0,0,0,633,637,630,631,25.25,24.55,23.25,21.45
2019-10-10,15,19.85,2019-10-10T15:00:00Z,0,0,0,0,621,626,628,629,25.75,24.95,23.65,21.85
2019-10-10,16,12.47,2019-10-10T16:00:00Z,0,0,0,0,470,470,470,470,25.75,24.95,23.55,21.65
2019-10-10,17,3.59,2019-10-10T17:00:00Z,0,0,0,0,350,360,380,370,25.607,24.517,22.967,21.077
2019-10-10,18,0.11,2019-10-10T18:00:00Z,0,0,0,0,260,260,280,270,23.497,22.057,20.887,18.637
2019-10-10,19,0,2019-10-10T19:00:00Z,0,0,0,0,190,200,210,200,21.865,20.525,19.395,17.125
2019-10-10,20,0,2019-10-10T20:00:00Z,0,0,0,0,150,160,170,170,21.013,18.943,18.603,16.373
2019-10-10,21,0,2019-10-10T21:00:00Z,0,0,0,0,130,130,140,140,19.906,18.366,17.666,15.836
2019-10-10,22,0,2019-10-10T22:00:00Z,0,0,0,0,0,0,0,0,18.639,17.769,16.919,15.049
2019-10-10,23,0,2019-10-10T23:00:00Z,0,0,0,0,0,0,0,0,17.967,17.387,16.347,14.557
2019-10-11,0,0,2019-10-11T00:00:00Z,0,0,0,0,0,0,0,0,17.514,16.724,15.514,13.614
2019-10-11,1,0,2019-10-11T01:00:00Z,0,0,0,0,0,0,0,0,17.255,15.725,14.725,13.115
2019-10-11,2,0,2019-10-11T02:00:00Z,0,0,0,0,0,0,0,0,17.16,15.35,14.09,12.51
2019-10-11,3,0,2019-10-11T03:00:00Z,0,0,0,0,0,0,0,0,16.471,14.811,13.691,11.921
2019-10-11,4,0,2019-10-11T04:00:00Z,0,0,0,0,0,0,0,0,15.817,14.677,13.107,10.897
2019-10-11,5,0,2019-10-11T05:00:00Z,0,0,0,0,0,0,0,0,15.331,14.111,12.511,10.471
2019-10-11,6,0,2019-10-11T06:00:00Z,0,0,0,0,0,0,0,0,14.577,13.137,12.137,10.227
2019-10-11,7,3.8,2019-10-11T07:00:00Z,0,0,0,0,0,0,0,0,14.151,13.341,12.041,10.521
2019-10-11,8,10,2019-10-11T08:00:00Z,0,0,0,0,10,20,10,10,16.7190000000001,16.049,14.979,13.409
2019-10-11,9,12.5,2019-10-11T09:00:00Z,0,0,0,0,50,50,50,50,18.47,17.89,17.17,15.76
2019-10-11,10,18.9,2019-10-11T10:00:00Z,0,0,0,0,390,400,380,370,19.9210000000001,19.101,18.351,16.731
2019-10-11,11,20.6,2019-10-11T11:00:00Z,0,0,0,0,460,460,420,440,21.201,20.361,19.501,18.071
2019-10-11,12,22.8,2019-10-11T12:00:00Z,0,0,0,0,510,520,460,480,22.269,21.4690000000001,20.589,18.999
2019-10-11,13,18.1,2019-10-11T13:00:00Z,0,0,0,0,550,550,490,510,23.154,22.314,21.414,19.624
2019-10-11,14,14,2019-10-11T14:00:00Z,0,0,0,0,550,560,510,530,23.905,22.995,22.335,20.315
2019-10-11,15,9.2,2019-10-11T15:00:00Z,0,0,0,0,543,546,505,521,24.412,23.432,22.732,20.572
2019-10-11,16,5.4,2019-10-11T16:00:00Z,0,0,0,0,370,360,360,340,24.33,23.5,22.3200000000001,20.4
2019-10-11,17,1.1,2019-10-11T17:00:00Z,0,0,0,0,280,280,280,280,23.513,22.773,21.593,19.833
2019-10-11,18,0,2019-10-11T18:00:00Z,0,0,0,0,210,200,200,200,22.253,21.283,20.003,18.013
2019-10-11,19,0,2019-10-11T19:00:00Z,0,0,0,0,150,150,150,150,21.198,19.698,18.998,17.098
2019-10-11,20,0,2019-10-11T20:00:00Z,0,0,0,0,120,120,120,120,20.639,19.239,18.339,16.639
2019-10-11,21,0,2019-10-11T21:00:00Z,0,0,0,0,100,100,100,100,19.241,18.341,17.941,15.641
2019-10-11,22,0,2019-10-11T22:00:00Z,0,0,0,0,0,0,0,0,18.65,17.35,17.55,15.55
